,is_canceled,lead_time,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,booking_changes,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,adr,required_car_parking_spaces,Country,Region,Population,Area(sq.mi.),Pop.Density(persq.mi.),Coastline(coast/arearatio),Netmigration,Infantmortality(per1000births),GDP($percapita),Literacy(%),Phones(per1000),Arable(%),Crops(%),Other(%),Climate,Birthrate,Deathrate,Agriculture,Industry,Service
39,0.3333333333333333,32.666666666666664,0.0,0.0,0.0,0.0,1.3333333333333333,3.3333333333333335,2.0,0.0,0.0,101.25999999999999,0.0,Ethiopia,SUB-SAHARANAFRICA,74777981,1127127,66.3,0.0,0.0,95.32,700.0,42.7,8.2,10.71,0.75,88.54,2.0,37.98,14.86,0.475,0.099,0.426
40,0.15436241610738255,67.21252796420582,0.0044742729306487695,0.0022371364653243847,0.0044742729306487695,0.2505592841163311,1.1901565995525727,2.9507829977628637,1.854586129753915,0.17002237136465326,0.015659955257270694,104.03263982102908,0.0738255033557047,Finland,WESTERNEUROPE,5231372,338145,15.5,0.37,0.95,3.57,27400.0,100.0,405.3,7.19,0.03,92.78,3.0,10.45,9.86,0.028,0.295,0.676
41,1.0,322.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,0.0,135.33,0.0,Fiji,OCEANIA,905949,18270,49.6,6.18,-3.14,12.62,5800.0,93.7,112.6,10.95,4.65,84.4,2.0,22.55,5.65,0.089,0.135,0.776
42,0.185693710993759,82.32213154104657,0.007489198271723476,0.0061449831973115696,0.020931349015842534,0.21805088814210274,0.9726356216994719,2.5364378300528085,1.9482477196351415,0.11627460393662986,0.007393182909265482,109.61727604416706,0.055400864138262125,France,WESTERNEUROPE,60876136,547030,111.3,0.63,0.66,4.26,27600.0,99.0,586.4,33.53,2.07,64.4,4.0,11.99,9.14,0.022,0.214,0.764
43,0.5,47.25,0.0,0.0,0.0,0.0,0.5,2.0,1.5,0.25,0.0,143.375,0.0,Gabon,SUB-SAHARANAFRICA,1424906,267667,5.3,0.33,0.0,53.64,5500.0,63.2,27.4,1.26,0.66,98.08,2.0,36.16,12.25,0.061,0.592,0.348
44,0.6818181818181818,97.68181818181819,0.0,0.0,0.0,0.2727272727272727,1.6818181818181819,3.590909090909091,1.9545454545454546,0.18181818181818182,0.0,169.01590909090908,0.0,Georgia,C.W.OFIND.STATES,4661473,69700,66.9,0.44,-4.7,18.59,2500.0,99.0,146.6,11.44,3.86,84.7,3.0,10.41,9.23,0.172,0.275,0.553
45,1.0,31.333333333333332,0.0,0.0,0.0,0.0,1.3333333333333333,1.0,1.6666666666666667,0.0,0.0,100.26666666666667,0.0,Guernsey,WESTERNEUROPE,65409,78,838.6,64.1,3.84,4.71,20000.0,82.0,842.4,,,,3.0,8.81,10.01,0.03,0.1,0.87
46,0.5,42.25,0.0,0.0,0.0,0.25,1.75,4.0,2.0,0.0,0.0,126.45,0.0,Ghana,SUB-SAHARANAFRICA,22409572,239460,93.6,0.23,-0.64,51.43,2200.0,74.8,14.4,16.26,9.67,74.07,2.0,30.52,9.72,0.366,0.246,0.387
47,0.6111111111111112,117.27777777777777,0.0,0.0,0.0,0.3888888888888889,0.8333333333333334,2.3333333333333335,2.0555555555555554,0.16666666666666666,0.05555555555555555,150.4022222222222,0.05555555555555555,Gibraltar,WESTERNEUROPE,27928,7,3989.7,171.43,0.0,5.13,17500.0,82.0,877.7,0.0,0.0,100.0,,10.74,9.31,,,0.56
48,1.0,103.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,140.0,0.0,Guadeloupe,LATINAMER.&CARIB,452776,1780,254.4,17.19,-0.15,8.6,8000.0,90.0,463.8,11.24,3.55,85.21,2.0,15.05,6.09,0.15,0.17,0.68
49,0.1111111111111111,40.888888888888886,0.0,0.0,0.0,1.3333333333333333,2.2222222222222223,4.888888888888889,1.2222222222222223,0.0,0.0,83.16444444444444,0.0,Guinea-Bissau,SUB-SAHARANAFRICA,1442029,36120,39.9,0.97,-1.57,107.17,800.0,42.4,7.4,10.67,8.82,80.51,2.0,37.22,16.53,0.62,0.12,0.26
50,0.2734375,69.0703125,0.03125,0.0,0.03125,0.234375,1.296875,2.796875,1.6875,0.0625,0.0078125,109.962734375,0.03125,Greece,WESTERNEUROPE,10688058,131940,81.0,10.37,2.35,5.53,20000.0,97.5,589.7,21.1,8.78,70.12,3.0,9.68,10.24,0.054,0.213,0.733
51,0.0,5.25,0.0,0.0,0.0,0.75,0.0,1.75,2.0,0.25,0.0,75.0,0.0,Guatemala,LATINAMER.&CARIB,12293545,108890,112.9,0.37,-1.67,35.93,4100.0,70.6,92.1,12.54,5.03,82.43,2.0,29.88,5.2,0.227,0.188,0.585
52,0.0,180.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,120.0,0.0,Guyana,LATINAMER.&CARIB,767245,214970,3.6,0.21,-2.07,33.26,4000.0,98.8,143.5,2.44,0.15,97.41,2.0,18.28,8.28,0.37,0.203,0.427
53,1.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,79.0,0.0,Honduras,LATINAMER.&CARIB,7326496,112090,65.4,0.73,-1.99,29.32,2600.0,76.2,67.5,9.55,3.22,87.23,2.0,28.24,5.28,0.139,0.312,0.549
54,0.25,71.12,0.0,0.0,0.0,0.22,1.05,2.85,1.84,0.16,0.0,111.02420000000001,0.06,Croatia,EASTERNEUROPE,4494749,56542,79.5,10.32,1.58,6.84,10600.0,98.5,420.4,26.09,2.27,71.65,,9.61,11.48,0.07,0.308,0.622
55,0.3347826086956522,98.2304347826087,0.0,0.0,0.0,0.30434782608695654,0.9695652173913043,2.739130434782609,1.873913043478261,0.14782608695652175,0.008695652173913044,113.17865217391305,0.06956521739130435,Hungary,EASTERNEUROPE,9981334,93030,107.3,0.0,0.86,8.57,13900.0,99.4,336.2,50.09,2.06,47.85,3.0,9.72,13.11,0.037,0.312,0.651
56,0.6857142857142857,31.2,0.0,0.0,0.0,0.17142857142857143,0.8857142857142857,2.4,1.8285714285714285,0.14285714285714285,0.0,116.6257142857143,0.02857142857142857,Indonesia,ASIA(EX.NEAREAST),245452739,1919440,127.9,2.85,0.0,35.6,3200.0,87.9,52.0,11.32,7.23,81.45,2.0,20.34,6.25,0.134,0.458,0.408
57,0.23026315789473684,48.89473684210526,0.0,0.0,0.0,0.3092105263157895,0.7631578947368421,2.348684210526316,1.894736842105263,0.29605263157894735,0.013157894736842105,113.60815789473683,0.046052631578947366,India,ASIA(EX.NEAREAST),1095351995,3287590,333.2,0.21,-0.07,56.29,2900.0,59.5,45.4,54.4,2.74,42.86,2.5,22.01,8.18,0.186,0.276,0.538
58,0.24651851851851853,120.44651851851852,0.009185185185185185,0.1831111111111111,0.011259259259259259,0.261037037037037,1.4485925925925927,3.6968888888888887,1.9466666666666668,0.09333333333333334,0.0071111111111111115,98.19217185185185,0.024888888888888887,Ireland,WESTERNEUROPE,4062235,70280,57.8,2.06,4.99,5.39,29600.0,98.0,500.5,15.2,0.03,84.77,3.0,14.45,7.82,0.05,0.46,0.49
59,0.27710843373493976,42.42168674698795,0.0,0.0,0.0,0.37349397590361444,1.0843373493975903,2.8433734939759034,1.891566265060241,0.1686746987951807,0.0,127.98867469879518,0.024096385542168676,Iran,ASIA(EX.NEAREAST),68688433,1648000,41.7,0.15,-0.84,41.58,7000.0,79.4,276.4,8.72,1.39,89.89,1.0,17.0,5.55,0.116,0.424,0.46
60,0.0,19.214285714285715,0.0,0.0,0.0,0.5714285714285714,0.8571428571428571,2.5,1.5,0.14285714285714285,0.0,106.95714285714287,0.0,Iraq,NEAREAST,26783383,437072,61.3,0.01,0.0,50.25,1500.0,40.4,38.6,13.15,0.78,86.07,1.0,31.98,5.37,0.073,0.666,0.261
61,0.07017543859649122,155.3859649122807,0.017543859649122806,0.0,0.017543859649122806,0.21052631578947367,0.43859649122807015,3.8947368421052633,1.8771929824561404,0.05263157894736842,0.0,111.5677192982456,0.03508771929824561,Iceland,WESTERNEUROPE,299388,103000,2.9,4.83,2.38,3.31,30900.0,99.9,647.7,0.07,0.0,99.93,3.0,13.64,6.72,0.086,0.15,0.765
62,0.2526158445440957,88.94768310911809,0.004484304932735426,0.0,0.025411061285500747,0.2242152466367713,0.7817638266068759,1.7922272047832586,1.9192825112107623,0.09566517189835576,0.0014947683109118087,110.69581464872945,0.03139013452914798,Israel,NEAREAST,6352117,20770,305.8,1.31,0.68,7.03,19800.0,95.4,462.3,16.39,4.17,79.44,3.0,17.97,6.18,0.026,0.317,0.657
63,0.3539564524694636,90.66489644184811,0.010621348911311737,0.0010621348911311736,0.01779075942644716,0.25570897503983003,0.9599044078597982,2.312002124269782,1.9607010090281465,0.1210833775889538,0.004248539564524694,113.94820764737122,0.033722782793414764,Italy,WESTERNEUROPE,58133509,301230,193.0,2.52,2.07,5.94,26700.0,98.6,430.9,27.79,9.53,62.68,,8.72,10.4,0.021,0.291,0.688
