country,is_canceled,lead_time,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,booking_changes,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,adr,required_car_parking_spaces
Costa Rica,0.05263157894736842,34.68421052631579,0.0,0.0,0.0,0.42105263157894735,0.7894736842105263,1.5263157894736843,1.894736842105263,0.05263157894736842,0.0,102.20894736842105,0.05263157894736842
Cuba,0.0,13.5,0.0,0.0,0.0,0.5,0.875,1.75,1.625,0.0,0.125,99.36625,0.0
Cayman Islands,0.0,92.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,0.0,0.0,40.5,0.0
Cyprus,0.21568627450980393,77.33333333333333,0.0,0.0,0.0196078431372549,0.5098039215686274,1.1176470588235294,2.3137254901960786,1.5490196078431373,0.0784313725490196,0.0,98.62627450980392,0.0196078431372549
Czech Republic,0.21637426900584794,95.47368421052632,0.0,0.0,0.0,0.3742690058479532,0.7953216374269005,2.6666666666666665,1.8245614035087718,0.07017543859649122,0.011695906432748537,111.33777777777777,0.023391812865497075
Germany,0.16714697406340057,137.36764100452862,0.0034307671195279266,0.0017839989021545218,0.005763688760806916,0.2278029367366543,0.9790037052284891,2.5597639632221765,1.880472073555647,0.06545903664059284,0.002470152326060107,104.39675586661178,0.033347056401811445
Djibouti,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,273.0,0.0
Dominica,0.0,124.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,0.0,0.0,105.3,0.0
Denmark,0.25057471264367814,113.13103448275862,0.0022988505747126436,0.0,0.0022988505747126436,0.271264367816092,1.0482758620689656,2.9655172413793105,1.9333333333333333,0.21149425287356322,0.009195402298850575,117.58280459770114,0.041379310344827586
Dominican Republic,0.5714285714285714,185.28571428571428,0.0,0.0,0.0,0.21428571428571427,1.0,3.2142857142857144,1.9285714285714286,0.5714285714285714,0.0,127.82428571428571,0.0
Algeria,0.20388349514563106,36.66990291262136,0.019417475728155338,0.009708737864077669,0.06796116504854369,0.27184466019417475,1.1262135922330097,2.9611650485436893,1.6310679611650485,0.10679611650485436,0.0,112.53611650485436,0.019417475728155338
Ecuador,0.2962962962962963,28.703703703703702,0.0,0.0,0.0,0.037037037037037035,0.9259259259259259,2.4814814814814814,1.8888888888888888,0.2222222222222222,0.0,129.0511111111111,0.07407407407407407
Egypt,0.34375,68.65625,0.0,0.0,0.0,1.125,1.4375,2.8125,1.53125,0.1875,0.0,117.6609375,0.0
Spain,0.2540849673202614,54.851540616246496,0.01050420168067227,0.007119514472455649,0.01657329598506069,0.2407796451914099,0.8293650793650794,2.246965452847806,1.9391923436041083,0.16479925303454715,0.014705882352941176,116.99546335200748,0.1395891690009337
Estonia,0.21686746987951808,98.89156626506023,0.0,0.0,0.0,0.21686746987951808,1.2409638554216869,3.4578313253012047,1.9156626506024097,0.18072289156626506,0.012048192771084338,114.06939759036145,0.0963855421686747
Ethiopia,0.3333333333333333,32.666666666666664,0.0,0.0,0.0,0.0,1.3333333333333333,3.3333333333333335,2.0,0.0,0.0,101.25999999999999,0.0
